Unnamed: 0,series_name,director_name,genre,ratings,performers,ott_platform
1020,Apharan Season 2,Sidharth Sengupta,"2022, 11 Episodes",3.4,"Arunoday Singh, Mahie Gill, Monica Chaudhary, Nidhi Singh, Varun Badola, Saanand Verma, Neha Kaul, Pawan Chopra, Ram Sujan Singh, Surender Singh, Sanjay Batra, Nilesh Mamgain, Snehil Dixit Mehra, Shweta Rajput, Nishant Tanwar, Aditya Jadhav",JioCinema
1022,India's Ultimate Warrior,No description available,"2022, 6 Episodes",3.6,"Vidyut Jammwal, Kanishka Sharma, Bi 'Killerbee' Nyugen, Shaun Kober, Mykel Hawke, Abhishek Mishra, Deepak Dattatraya Mali, Deepak Sharma, Deepak Rao, Dinesh Shetty, Haleema Saadiya Ismail Momin, Lekha Jambaulikar, Muntazir Ahmad, Pearl Monteiro, Pooja Yadav, Prakram Dandona, Rohit Choudhary, Rounak Gulia, Sandeep Chauhan, Suchika Tariyal, Yogesh Kshatriya",Discovery+
1023,Jugaadistan,"Akarsh Khurana, Adhaar Khurana",2022,3.4,"Sumeet Vyas, Arjun Mathur, Parambrata Chatterjee, Rukshar Dhillon, Taaruk Raina, Gopal Datt, Ahsaas Channa",Lionsgate Play
1024,Pieces of Her,Minkie Spiro,"2022, 8 Episodes",4.5,"Toni Collette, Bella Heathcote, David Wenham, Jessica Barden, Joe Dempsie, Jacob Scipio, Omari Hardwick",Netflix
1025,Rudra: The Edge of Darkness,Rajesh Mapuskar,"2022, 6 Episodes",3.2,"Ajay Devgn, Raashii Khanna, Esha Deol, Atul Kulkarni, Ashwini Kalsekar, Tarun Gahlot, Ashish Vidyarthi, Satyadeep Misra, Luke Kenny",Disney+ Hotstar
1026,Star Trek: Picard Season 2,"Douglas Aarniokoski, Joe Menendez, Lea Thompson","2022, 10 Episodes",3.8,"Patrick Stewart, Alison Pill, Isa Briones, Evan Evagora, Michelle Hurd, Santiago Cabrera, Jeri Ryan, Orla Brady, Brent Spiner",Prime Video
1027,Sutliyan,Shree Narayan Singh,"2022, 8 Episodes",3.5,"Ayesha Raza, Shiv Pandit, Vivaan Shah, Plabita Borthakur",Zee5
1029,The Dropout,No description available,"2022, 8 Episodes",4.5,"Amanda Seyfried, Naveen Andrews",Disney+ Hotstar
1030,Undekhi Season 2,"Sumit Chawla, Shubham Dubey, Anjana Gupta, Trupti Mehta, Abinaash Sharrma, Amit Tonger","2022, 10 Episodes",3.2,"Dibyendu Bhattacharya, Surya Sharma, Harsh Chhaya, Ankur Rathee, Abhishek Chauhan, Anchal Singh, Ayn Zoya, Apeksha Porwal",SonyLIV
1031,The Guardians of Justice,"Kenlon Clark, Enol Junquera, Luis Pelayo Junquera, Adi Shankar, Stewart Yost",2022,2.2,"Denise Richards, Derek Mears, Hal Ozsan, Andy Milonakis, Sharni Vinson, Dallas Page",Netflix
1032,Super Pumped: The Battle For Uber,Allen Coulter,"2022, 7 Episodes",3.4,"Joseph Gordon-Levitt, Kyle Chandler, Kerry Bishé, Babak Tafti, Mousa Kraish, Mousa Hussein Kraish, Hank Azaria, Elisabeth Shue, Uma Thurman",JioCinema
1033,Killing Eve Season 4,"Stella Corradi, Anu Menon","2022, 8 Episodes",2.5,"Sandra Oh, Jodie Comer, Fiona Shaw, Kim Bodnia, Camille Cottin",Prime Video
1034,Lock Upp,No description available,2022,2.8,"Kangana Ranaut, Anjali Arora, Babita Phogat, Karanvir Bohra, Munawar Faruqui, Nisha Rawal, Payal Rohatgi, Poonam Pandey, Saisha Shinde, Sara Khan, Shivam Sharma, Siddharth Sharma, Swami Chakrapani, Tehseen Poonawala",ALTT (ALTBalaji)
1036,A Discovery Of Witches Season 3,"Jamie Donoughue, Debs Paterson","2022, 7 Episodes",4.5,"Teresa Palmer, Matthew Goode, Edward Bluemel, Aiysha Hart, Alex Kingston, Adelle Leonce, Steven Cree, Peter McDonald",SonyLIV
1039,The Fame Game,"Karishma Kohli, Bejoy Nambiar","2022, 8 Episodes",3.8,"Madhuri Dixit Nene, Sanjay Kapoor, Manav Kaul, Rajshri Deshpande, Muskkaan Jaferi, Lakshvir Singh Saran, Gagan Arora, Suhasini Muley, Shubhangi Latkar",Netflix
1040,Vikings: Valhalla Season 1,No description available,2022,3.8,"Laura Berlin, Sam Corlett, Bradley Freegard, Frida Gustavsson, Caroline Henderson, Jóhannes Haukur Jóhannesson, Asbjørn Krogh, David Oakes, Julian Seager, Leo Suter, Pollyanna McIntosh, John Kavanagh, Pääru Oja, Louis Davison, Bosco Hogan, Yvonne Mai, Joakim Nätterqvist",Netflix
1044,Bestseller,Mukul Abhyankar,"2022, 8 Episodes",3.3,"Shruti Haasan, Mithun Chakraborty, Gauahar Khan, Arjan S Bajwa, Satyajeet Dubey, Sonalee Kulkarni",Prime Video
1045,Magpie Murders,Peter Cattaneo,"2022, 6 Episodes",3,"Conleth Hill, Lesley Manville, Alexandros Logothetis, Daniel Mays, Pippa Haywood, Michael Maloney, Conleth Hill",SonyLIV
1046,Mithya,Rohan Sippy,"2022, 6 Episodes",3.3,"Huma Qureshi, Avantika Dassani, Parambrata Chatterjee, Rajit Kapur, Indraneil Sengupta, Samir Soni",Zee5
1048,Severance,"Ben Stiller, Aoife McArdle","2022, 9 Episodes",4.5,"Adam Scott, Britt Lower, John Turturro, Christopher Walken, Patricia Arquette, Jen Tullock, Zach Cherry, Tramell Tillman, Yul Vazquez, Dichen Lachman, Ethan Flower",Apple TV+
1049,Space Force Season 2,No description available,"2022, 7 Episodes",4.5,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake",Netflix
1053,Jeen-yuhs: A Kanye Trilogy,"Coodie, Chike Ozah","2022, 3 Episodes",5,"Kanye West, Yasiin Bey, Jay Z",Netflix
1055,Everything's Gonna Be All White,Sacha Jenkins,"2022, 4 Episodes",1,"Amanda Seales, Jemele Hill, Margaret Cho, Ibram X. Kendi, Styles P, Tamika Mallory, Dr. Nell Irvin Painter Favianna Rodriguez",JioCinema
1057,Inventing Anna,No description available,"2022, 9 Episodes",4.5,"Anna Chlumsky, Julia Garner, Katie Lowes, Laverne Cox, Alexis Floyd, Arian Moayed, Anders Holm, Anna Deavere Smith, Jeff Perry, Terry Kinney",Netflix
1060,Pretzel and the Puppies Season 1,"Andrew Woodhouse, Dipesh Mistry","2022, 9 Episodes",0.5,"Nadim Pedrad, Alex Jayne Go, Amari McCoy, Gracen Newton, Max Mitchell, Milo Stein, Mark Duplass, Robert Naylor, Elia Saldana, Kari Wahlgren, Andrew Morgado, Robbie Daymond, Jeff Bennett",Apple TV+
1061,Raktanchal Season 2,Ritam Srivastav,"2022, 9 Episodes",3.5,"Nikitin Dheer, Kranti Prak, Soundarya Sharma, Ronjini Chakraborty, Chittaranjan Tripathy, Pramod Pathak, Vikram Kochhar, Krishna Bisht, B, Rajesh Dubey, Kenisha, Pravina Bhagwat Deshpande, Ravi Khanvilkar, Prachi Prak, Farah Malik, Daya Shankar Pandey, Bhupesh Singh, Sushil Kr. Sriv, Gyan Prak",MX Player
1064,Snowdrop,Jo Hyun-tak,"2022, 10 Episodes",3.1,"Jung Hae-in, Jisoo, Yoo In-na, Jang Seung-jo, Yoon Se-ah, Kim Hye-yoon, Jung Yoo-jin",Disney+ Hotstar
1066,Reacher,"Norberto Barba, Christine Moore, Lin Oeding, M. J. Bassett, Sam Hill, Omar Madha, Stephen Surjik, Thomas Vincent","2022, 8 Episodes",3.4,"Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Chris Webster, Bruce McGill, Maria Sten, Hugh Thompson",Prime Video
1067,Rocket Boys Season 1,Abhay Pannu,"2022, 8 Episodes",4.1,"Ishwak Singh, Jim Sarbh, Regina Cassandra, Rajit Kapoor, Dibyendu Bhattacharya, Saba Azad, Arjun Radhakrishnan, Namit Das, K.C. Shankar",SonyLIV
1068,Suspicion,"Chris Long, Stefan Schwartz","2022, 8 Episodes",3.5,"Uma Thurman, Kunal Nayyar, Noah Emmerich, Georgina Campbell, Elyes Gabel, Elizabeth Henstridge, Angel Coulby, Tom Rhys Harries",Apple TV+
1069,The Great Indian Murder,Tigmanshu Dhulia,"2022, 9 Episodes",2.9,"Richa Chadha, Pratik Gandhi, Ashutosh Rana, Raghubir Yadav, Sharib Hashmi, Paoli Dam, Shashank Arora, Amey Wagh, Jatin Goswami, Mani PR",Disney+ Hotstar
1073,Raising Dion Season 2,No description available,"2022, 8 Episodes",3.7,"Alisha Wainwright, Ja'Siah Young, Jazmyn Simon, Sammi Haney, Jason Ritter, Ali Ahn, Griffin Robert Faulkner, Michael Anthony",Netflix
1076,Bigg Boss Ultimate,No description available,2022,2,Kamal Haasan (presenter),Disney+ Hotstar
1077,All of Us Are Dead Season 1,"Lee Jae-kyoo, Kim Nam-su","2022, 12 Episodes",3.2,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, Jeon Bae-soo",Netflix
1078,Kapil Sharma: I'm Not Done Yet,Saahil Chhabria,2022,3.9,Kapil Sharma,Netflix
1079,Love Island USA Season 3,No description available,"2022, 34 Episodes",2.5,"Matthew Hoffman (narrator), Arielle Vandenberg (host), Olivia Kaiser, Kyra Lizama, Cashay Proudfoot, Shannon St. Clair, Korey Gandy, Josh Goldstein, , Jeremy Hershberg, Melvin ""Cinco"" Holland Jr., Christian Longnecker, Will Moncada, Javonny Vega, Trina Njoroge",JioCinema
1080,Pavitra Rishta: It's Never Too Late Season 2,Nandita Mehra,"2022, 8 Episodes",2.9,"Shaheer Sheikh, Ankita Lokhande, Usha Nadkarni, Prakriti Nautiyal, Asheema Vardaan, Randeep Rai",Zee5
1083,The Woman in the House Across the Street From the Girl in the Window,Michael Lehmann,"2022, 8 Episodes",0.8,"Kristen Bell, Tom Riley, Mary Holland, Shelley Hennig, Christina Anthony, Samsara Yett, Cameron Britton, Benjamin Levy Aguilar, Michael Ealy",Netflix
1084,Framed! A Sicilian Murder Mystery Season 1,"Salvatore Ficarra, Valentino Picone","2022, 6 Episodes",4.5,"Salvatore Ficarra, Valentino Picone, Marianna Di Martino, Anna Favella, Leo Gullotta, Sergio Friscia, Tony Sperandeo, Maurizio Marchetti, Filippo Luna, Domenico Centamore, Sasà Salvaggio",Netflix
1086,The Sinner Season 4,"Adam Bernstein, Radium Cheung, Derek Simonds, Batan Silva, Haifaa Al-Mansour, Monica Raymund","2022, 8 Episodes",4.5,"Bill Pullman, Jessica Hecht, Alice Kremelberg, Michael Mosley, Frances Fisher, Cindy Cheung, Ronin Wong, Neal Huff",Netflix
1088,Neymar: The Perfect Chaos,David Charles Rodrigues,"2022, 3 Episodes",3.7,"David Beckham, Neymar, Lionel Messi",Netflix
1090,Snowpiercer Season 3,No description available,"2022, 6 Episodes",3.6,"Jennifer Connelly, Daveed Diggs, Mickey Sumner, Alison Wright, Iddo Goldberg, Susan Park, Katie McGuinness, Sam Otto, Sheila Vand, Mike O'Malley, Annalise Basso, Jaylin Fletcher, Lena Hall, Roberto Urbina, Steven Ogg, Rowan Blanchard, Sean Bean",Netflix
1091,The Gilded Age,"Michael Engler, Salli Richardson","2022, 9 Episodes",4.3,"Christine Baranski, Cynthia Nixon, Carrie Coon, Morgan Spector, Denée Benton, Louisa Jacobson, Taissa Farmiga, Blake Ritson, Simon Jones, Harry Richardson, Thomas Cocquerel, Jack Gilpin",Disney+ Hotstar
1092,Billions Season 6,Joshua Marston,"2022, 1 Episode",4.5,"Paul Giamatti, Damian Lewis, Maggie Siff, Toby Leonard Moore, David Costabile, Condola Rashād, Asia Kate Dillon, Jeffrey DeMunn, Kelly AuCoin, Corey Stol",Disney+ Hotstar
1093,Ozark Season 4,"Jason Bateman, Alik Sakharov","2022, 7 Episodes",3,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner, Julia Garner, Jordana Spiro, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery, Charlie Tahan, Janet McTeer, Tom Pelphrey, Jessica Frances Dukes",Netflix
1094,Servant Season 3,No description available,"2022, 10 Episodes",4,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint, Sunita Mani",Apple TV+
1095,Unpaused: Naya Safar,"Nagraj Popatrao Manjule, Shujaat Saudagar, Ashwini Sidhwani, Paramvir Singh, Vikesh Bhutani, Anand Menon","2022, 5 Episodes",3.7,"Gulshan Devaiah, Sumeet Vyas, Saiyami Kher, Richa Chadda, Abhishek Banerjee, Ratna Pathak Shah, Ishwak Singh, Rinku Rajguru, Geetika Vidya Ohlyan, Lillete Dubey, Shardul Bharadwaj",Prime Video
1096,Bhaukaal Season 2,Jatin Wagle,"2022, 10 Episodes",3.5,"Mohit Raina, Abhimanyu Singh, Upen Chauhan, Gulki Joshi, Bidita Bag, Siddhanth Kapoor, Pradeep Nagar, Sunny Hinduja, R, Sanyam Sriv, Shahab Khan",MX Player
1097,How I Met Your Father Season 1,Pamela Fryman,"2022, 10 Episodes",2.3,"Hilary Duff, Chris Lowell, Francia Raisa, Tom Ainsley, Tien Tran, Suraj Sharma, Kim Cattrall",Disney+ Hotstar
1099,Too Hot to Handle Season 3,No description available,"2022, 10 Episodes",3.4,"Desiree Burch (Narrator), Truth, Stevan, Patrick, Nathan, Beaux, Georgia, Harry, Holly, Izzy, Jaz",Netflix
1100,DOTA: Dragon's Blood Season 2,"Park So Young, Kim Eui Jeong","2022, 8 Episodes",4,"Yuri Lowenthal, Lara Pulver, Tony Todd, Troy Baker, Josh Keaton, Kari Wahlgren, Alix Wilton Regan, Freya Tingley, Stephanie Jacobsen, Anson Mount, JB Blanc",Netflix
1102,After Life Season 3,Ricky Gervais,"2022, 6 Episodes",3.7,"Ricky Gervais, Diane Morgan, Tom Basden, Tony Way, Mandeep Dhillon, Ashley Jensen, David Bradley, Kerry Godliman, Penelope Wilton, David Earl, Joe Wilkinson, Roisin Conaty, Jo Hartley, Ethan Lawrence, Paul Kaye, Tim Plester, David Earl",Netflix
1103,Human,"Vipul Amrutlal Shah, Mozez Singh","2022, 10 Episodes",3.5,"Shefali Shah, Kirti Kulhari, Ram Kapoor, Vishal Jethwa, Seema Biswas, Indraneil Sengupta, Aditya Srivastava, Damini Sinha, Hridhaya Ashish Tribhuwan, Samridhi Singh, Atul Kumar Mittal, Mohan Agashe, Gaurav Dwivedi, Shruti Bapna, Sandip Kulkarni, Sushil Pandey, Riddhi Kumar, Ruchira Ghormare, Rishi Deshpande, Pranali Ghogare",Disney+ Hotstar
1104,Yeh Kaali Kaali Ankhein,Sidharth Sengupta,"2022, 8 Episodes",3.6,"Tahir Raj Bhasin, Shweta Tripathi Sharma, Anchal Singh, Saurabh Shukla, Arunoday Singh, Brijendra Kala, Surya Sharma, Anantvijay Joshi, Sunita Rajwar, Shashi Verma, Anjuman Saxena, Hetal Gada",Netflix
1105,Ranjish Hi Sahi,Pushpdeep Bhardwaj,"2022, 8 Episodes",3.8,"Tahir Raj Bhasin, Amala Paul, Amrita Puri",JioCinema
1106,Crushed Season 1,"Mandar Kurundkar, Heena Dsouza","2022, 6 Episodes",3.5,"Aadhya Anand, Urvi Singh, Rudhraksh Jaiswal, Arjun Deswal, Anupriya Caroli, Naman Jain, Shubham Pandey, Sachin Singh, Manisha Mehra, Sadaf Jafar, Narendra Panjwani, Akanksha Pandey, Anuj Nayak, Sanchi Biyani, Ravi Gupta, Kapil Tilhari, Nisha Singh, Ashok Lal, Ankita Tripathi, Siddharth",Amazon miniTV
1107,Euphoria Season 2,"Augustine Frizzell, Sam Levinson, Jennifer Morrison, Pippa Bianco","2022, 8 Episodes",3.3,"Zendaya, Maude Apatow, Angus Cloud, Eric Dane, Alexa Demie, Jacob Elordi, Barbie Ferreira, Nika King, Storm Reid, Hunter Schafer, Algee Smith, Sydney Sweeney, Colman Domingo, Javon Walton, Austin Abrams, Dominic Fike",JioCinema
1109,Campus Diaries,Prem Mistry,"2022, 12 Episodes",3.7,"Harsh Beniwal, Ritvik Sahore, Srishti Rindani, Saloni Khanna, Abhinav Sharma, Saloni Gaur, Rajesh Yadav, Gulshan Nain, Manoj Joshi, Ramandeep Yadav, Meherzan Mazda, Ranjan Raj, Sameer Rahman, Lovekush Kundu, Chetan Raghav",MX Player
1110,Cubicles Season 2,Chaitanya Kumbhakonum,"2022, 5 Episodes",4.2,"Abhishek Chauhan, Nidhi Bisht, Arnav Bhasin",SonyLIV
1111,Kaun Banegi Shikharwati,Gauravv K. Chawla,"2022, 10 Episodes",3.7,"Naseeruddin Shah, Lara Dutta, Soha Ali Khan, Kritika Kamra, Anya Singh, Cyrus Sahukar, ",Zee5
1112,Humble Politiciann Nograj,Saad Khan,"2022, 10 Episodes",4.2,"Danish Sait, Vinay Chendoor, Prakash Belawadi, Disha Madan",JioCinema
1113,This Is Us Season 6,"Ken Olin, Jessica Yu, Milo Ventimiglia","2022, 12 Episodes",3.3,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz, Justin Hartley, Susan Kelechi Watson, Chris Sullivan, Caitlin Thompson, Jon Huertas, Griffin Dunne, Eris Baker, Faith Herman, Lyric Ross",Disney+ Hotstar
1114,9-1-1: Lone Star Season 3,"Bradley Buecker, Chad Lowe, Brenna Malloy, Yangzom Brauen","2022, 13 Episodes",4.5,"Rob Lowe, Liv Tyler, Ronen Rubinstein, Sierra McClain, Jim Parrack, Natacha Karam, Brian Michael Smith, Rafael L. Silva, Julian Works, Gina Torres, Brianna Baker, Kelsey Yates, Skyler Yates",Disney+ Hotstar
1115,Harry Potter 20th Anniversary: Return to Hogwarts,"Casey Patterson, Joe Pearlman, Eran Creevy, Giorgio Testi","2022, 1 Episode",3.6,"Daniel Radcliffe, Emma Watson, Rupert Grint, Chris Columbus, Helena Bonham Carter, Robbie Coltrane, Ralph Fiennes, Jason Isaacs, Gary Oldman, Imelda Staunton, Tom Felton, James Phelps, Oliver Phelps, Mark Williams, Bonnie Wright, Alfred Enoch, Matthew Lewis, Evanna Lynch, Ian Hart",Prime Video
1116,Cobra Kai Season 4,"Jon Hurwitz, Hayden Schlossberg, Jennifer Celotta, Josh Heald, Lin Oeding, Steven K. Tsuchida","2021, 10 Episodes",4.1,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña, Tanner Buchanan, Mary Mouser, Jacob Bertrand, Gianni DeCenzo, Martin Kove, Vanessa Rubio, Peyton List, Peyton List",Netflix
1118,A Very British Scandal,Anne Sewitsky,"2021, 3 Episodes",2.8,"Claire Foy, Paul Bettany, Julia Davis, Richard McCabe, Sophia Myles, Phoebe Nicholls, Amanda Drew, Jonathan Aris, Oliver Chris, Richard Goulding, Timothy Renouf, Nichol, Camilla Rutherford, Sophie Ward",SonyLIV
1120,The Book of Boba Fett,"Robert Rodriguez, Steph Green, Kevin Tancharoen, Bryce Dallas Howard, Dave Filoni","2021, 7 Episodes",2.8,"Temuera Morrison, Ming-Na Wen, Pedro Pascal",Disney+ Hotstar
1121,Parampara Season 1,"Krishna Vijay L., Viswanath Arigela, Hari Yelleti",2021,3.9,"Jagapathi Babu, Sritej, R. Sarath Kumar, Prawin Yendamuri, Naveen Chandra, Ishan, Aakanksha Singh, Naina Ganguly, Aamani, Kasthuri, Murali Mohan, Thotapalli Madhu, Surya, Jogi Brothers, Arjun Ambati, Kedar Shankar, Kamalakar, Teja, Praveena, Divi, Shreya Navile, Rama Devi",Disney+ Hotstar
1122,Emily in Paris Season 2,"Jennifer Arnold, Katina Medina Mora","2021, 10 Episodes",2.6,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Ashley Park, Lucas Bravo, Samuel Arnold, Bruno Gouery, Camille Razat, William Abadie",Netflix
1123,Shark Tank India Season 1,No description available,"2021, 35 Episodes",2.5,"Aman Gupta, Anupam Mittal, Ashneer Grover, Ghazal Alagh, Namita Thapar, Peyush Bansal, Vineeta Singh, Rannvijay Singh",MX Player
1124,Single's Inferno Season 1,No description available,"2021, 8 Episodes",1.3,"Lee Da-hee, Jung Han-hae, Jin Kyeong Hong, Kyu-hyun Cho, Jia Song, Soyeon Kang, Sehoon Moon, Sihun Choi, Jiyeon Shin, Junsik Kim, HyeonJoong Kim, Yeawon An, Jintaek On",Netflix
1125,Decoupled,Hardik Mehta,"2021, 8 Episodes",3.9,"R. Madhavan, Surveen Chawla",Netflix
1126,The Witcher Season 2,"Edward Bazalgette, Louise Hooper, Sarah O'Gorman, Stephen Surjik","2021, 8 Episodes",3.2,"Henry Cavill, Freya Allan, Eamon Farren, Anya Chalotra, Joey Batey, MyAnna Buring, Royce Pierreson, Mimi Ndiweni, Mimî M. Khayisa, Wilson Radjou-Pujalte, Anna Shaffer, Mahesh Jadu",Netflix
1128,The Whistleblower,Manoj Pillai,"2021, 9 Episodes",3.8,"Ravi Kishan, Sonali Kulkarni, Sachin Khedekar, Ritwik Bhowmik, Ridhi Khakhar, Ashish Verma",SonyLIV
1130,Aarya Season 2,"Ram Madhvani, Sandeep Modi, Vinod Rawat","2021, 8 Episodes",3.3,"Sushmita Sen, Chandrachur Singh, Sikandar Kher, Ankur Bhatia, Alexx ONell, Namit D, Manish Choudhary, Viren Vazirani, Virti Vaghani, Pratyaksh Panwar, Sugandha Garg, Priy, Sohaila Kapur, Jayant Kripalani, Maya Sarao, Vishwajeet Pradhan, Vik, Nishank Verma, Jagdish Purohit, Flora Saini, Joy Sengupta, Gargi Sawant, Richard Bhakti Klein",Disney+ Hotstar
1131,Aranyak,Vinay Waikul,"2021, 8 Episodes",3.7,"Raveena Tandon, Parambrata Chatterjee, Ashutosh Rana, Zakir Hussain, Megna Malik",Netflix
1132,The Expanse Season 6,No description available,"2021, 6 Episodes",4.3,"Thomas Jane, Steven Strait, Cas Anvar, Dominique Tipper, Wes Chatham, Paulo Costanzo, Florence Faivre, Shawn Doyle, Shohreh Aghdashloo, Frankie Adams, Cara Gee, Keon Alexander, Jasai Chase-Owens, Nadine Nicole",Prime Video
1135,Titans Season 3,"Carol Banker, Nick Gomez, Boris Mojsovski, Millicent Shelton, Larnell Stovall, Chad Lowe","2021, 13 Episodes",2.8,"Brenton Thwaites, Anna Diop, Teagan Croft, Ryan Potter, Curran Walters, Conor Leslie, Minka Kelly, Alan Ritchson, Esai Morales, Chelsea Zhang, Joshua Orpin, Savannah Welch, Vincent Kartheiser, Damaris Lewis",Netflix
1136,Inside Edge Season 3,"Karan Anshuman, Aakash Bhatia, Gurmmeet Singh, Kanishk Varma","2021, 10 Episodes",3.8,"Vivek Oberoi, Aamir B, Richa Chadda, Sapna Pabbi, Tanuj Virwani, Siddhant Chaturvedi, Angad Bedi, Sayani Gupta",Prime Video
1139,Lost in Space Season 3,"Leslie Hope, Jabbar Raisani, Frederick E.O. Toye","2021, 8 Episodes",3.8,"Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell, Mina Sundwall, Ignacio Serricchio, Parker Posey, Brian Steele, Ajay Friese, Sibongile Mlambo",Netflix
1140,Dil Bekaraar Season 1,Habib Faisal,"2021, 10 Episodes",3.3,"Akshay Oberoi, Sahher Bambba, Anjali Anand, Raj Babbar, Padmini Kolhapure, Poonam Dhillon, Sukhmani Sadana",Disney+ Hotstar
1141,Hiccups & Hookups Season 1,Kunal Kohli,"2021, 8 Episodes",3.4,"Lara Dutta, Prateik Babbar, Shinnova",Lionsgate Play
1143,Hawkeye,"Rhys Thomas, Bert & Bertie","2021, 6 Episodes",3,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon, Brian d'Arcy James, Alaqua Cox",Disney+ Hotstar
1145,Cowboy Bebop Season 1,"Alex Garcia Lopez, Michael Katleman","2021, 10 Episodes",2.8,"John Cho, Mustafa Shakir, Daniella Pineda, Elena Satine, Alex Hassell",Netflix
1148,The Wheel of Time Season 1,"Uta Briesewitz, Wayne Yip, Salli Richardson Whitfield, Ciaran Donnelly","2021, 8 Episodes",3,"Rosamund Pike, Josha Stradowski, Marcus Rutherford, Zoë Robins, Barney Harris, Madeleine Madden, Daniel Henney, Michael McElhatton, Álvaro Morte, Hammed Anim, Alexandre Willaume, Johann Myers, Jennifer Cheon Garcia, Maria Doyle Kennedy, Daryl McCormack, Narinder Samra, Priyanka Bose, Emmanuel Imani, Taylor Napier, Kate Fleetwood, Christopher Sciueref, Juliet Howland, Mandi Symonds, Lolita Chakrabarti, Michael Tuahine, David Sterne, Abdul Salis, Stuart Graham, Kae Alexander, Sophie Okonedo, Clare Perkins, Peter Franzén, P, Jennifer K Preston, Darren Clarke",Prime Video
1149,Your Honor Season 2,"Eeshwar Nivas, Abdul Aziz Khokhar","2021, 10 Episodes",3.2,"Jimmy Shergill, Pulkit Makol, Mita V, Y, Parul Gulati, Mahie Gill, Gulshan Grover, Kunj Anand, Richa Pallod, Suh, Zeishan Quadri, Mahabir Bhullar, Varun Badola",SonyLIV
1150,Matsya Kaand,Ajay Bhuyan,"2021, 11 Episodes",3.9,"Ravii Dubey, Ravi Kishan, Piyush Mishra, Raj Sharma, Madhur Mittal, Zoya Afroz, Shrikant Verma, Rajesh Sharma, Danish Pandor, Naved Aslam, Girish Sharma, Shakti Kumar, Ritvik Sahore, Sunit Razdan, Priitamm Jaiswal",MX Player
1153,Special Ops 1.5,"Neeraj Pandey, Shivam Nair","2021, 4 Episodes",4,"Kay Menon, Vinay Pathak, Karan Tacker, Vipul Gupta, Muzamil Ibrahim, Sana Khan, Meher Vij, Saiyami Kher, Divya Dutta, Revathi Pillai, Sajjad Delafrooz",Disney+ Hotstar
1155,Arcane,"Pascal Charrue, Arnaud Delord","2021, 9 Episodes",2,"Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas, Remy Hii, Harry Lloyd, Toks Olagundoye, Robin Atkin Downes, Arthur Ortiz, JB Blanc, Dave B. Mitchell, Amirah Vann, Katie Leung, Ella Purnell, Mia Sinclair Jenness, Josh Keaton, Mick Wingert, Scott Menville",Netflix
1158,Tryst With Destiny,Prashant Nair,"2021, 4 Episodes",0.5,"Suhasini, Vineet Kumar Singh, Jaideep Ahlawat, Kani Kusruti, Palomi Ghosh, Victor Banerjee, Lillete Dubey, Ashish Vidyarthi",SonyLIV
1160,Akkad Bakkad Rafu Chakkar,Raj Kaushal,"2021, 10 Episodes",3.5,"Vicky Arora, Anuj Rampal, Flora Saini, Shrikant Verma, Shishir Sharma, Swati Semwal, Manish Chaudhari, Rakesh Thareja, Rakesh Thareja, Deepraj Rana, Santosh Singh, Sandesh Kulkarni, Mohan Agashe",Prime Video
1161,Call My Agent: Bollywood,No description available,"2021, 6 Episodes",3.6,"Rajat Kapoor, Aahana S Kumra, Ayush Kumra, Soni Razdan, Hussain Dalal",Netflix
1162,Swagger Season 1,"Reggie Rock Bythewood, Alex Hall, Rachel Leiterman, Nijla Mu'min, Janice Cooke","2021, 10 Episodes",5,"Sean Anthony Baker, O'Shea Jackson Jr., Isaiah R. Hill, Shinelle Azoroh, Tessa Ferrer, Quvenzhané Wallis, Caleel Harris, James Bingham, Solomon Irama, Ozie Nzeribe",Apple TV+
1165,Departure Season 2,T.J. Scott,"2021, 6 Episodes",4.7,"Archie Panjabi, Kris Holden-Ried, Mark Rendall, Cihang Ma",Lionsgate Play
1169,Succession Season 3,"Mark Mylod, Cathy Yan, Robert Pulcini & Shari Springer Berman, Kevin Bray, Andrij Parekh, Lorene Scafaria","2021, 9 Episodes",2.3,"Nicholas Braun, Brian Cox, Brian Cox, Kieran Culkin, Peter Friedman, Matthew Macfadyen, Alan Ruck, Sarah Snook, Jeremy Strong, Jeremy Strong, Dagmara Domińczyk, J. Smith-Cameron, Justine Lupe, David Rasche, Fisher Stevens",JioCinema
